AT, 2008, actual, 22.40, pmp, deceased
AT, 2008, utilized, -, num, deceased
AT, 2008, utilized, -, pmp, deceased
AT, 2008, living, 62, num, living
AT, 2008, living, 7.40, pmp, living
AT, 2009, actual, 224, num, deceased
AT, 2009, actual, 26.90, pmp, deceased
AT, 2009, utilized, -, num, deceased
AT, 2009, utilized, -, pmp, deceased
AT, 2009, living, 77, num, living
AT, 2009, living, 9.20, pmp, living
AT, 2010, actual, 203, num, deceased
AT, 2010, actual, 24.30, pmp, deceased
AT, 2010, utilized, -, num, deceased
AT, 2010, utilized, -, pmp, deceased
AT, 2010, living, 60, num, living
AT, 2010, living, 7.20, pmp, living
AT, 2011, actual, 219, num, deceased
AT, 2011, actual, 26.20, pmp, deceased
AT, 2011, utilized, -, num, deceased
AT, 2011, utilized, -, pmp, deceased
AT, 2011, living, 57, num, living
AT, 2011, living, 6.80, pmp, living
AT, 2012, actual, 207, num, deceased
AT, 2012, actual, 24.60, pmp, deceased
AT, 2012, utilized, -, num, deceased
AT, 2012, utilized, -, pmp, deceased
AT, 2012, living, 65, num, living
AT, 2012, living, 7.70, pmp, living
AT, 2013, actual, 208, num, deceased
AT, 2013, actual, 24.60, pmp, deceased
AT, 2013, utilized, 187, num, deceased
AT, 2013, utilized, 22.10, pmp, deceased
AT, 2013, living, 76, num, living
AT, 2013, living, 9, pmp, living
AT, 2014, actual, 217, num, deceased
AT, 2014, actual, 25.5, pmp, deceased
AT, 2014, utilized, 207, num, deceased
AT, 2014, utilized, 24.30, pmp, deceased
AT, 2014, living, 77, num, living
AT, 2014, living, 9.10, pmp, living
AT, 2015, actual, 208, num, deceased
AT, 2015, actual, 24.20, pmp, deceased
AT, 2015, utilized, 195, num, deceased
AT, 2015, utilized, 22.70, pmp, deceased
AT, 2015, living, 67, num, living
AT, 2015, living, 7.80, pmp, living
AT, 2016, actual, 217, num, deceased
AT, 2016, actual, 24.90, pmp, deceased
AT, 2016, utilized, 207, num, deceased
AT, 2016, utilized, 23.80, pmp, deceased
AT, 2016, living, 69, num, living
AT, 2016, living, 7.90, pmp, living
AT, 2017, actual, 217, num, deceased
AT, 2017, actual, 24.70, pmp, deceased
AT, 2017, utilized, 206, num, deceased
AT, 2017, utilized, 23.5, pmp, deceased
AT, 2017, living, 72, num, living
AT, 2017, living, 8.20, pmp, living
AT, 2018, actual, 224, num, deceased
AT, 2018, actual, 25.40, pmp, deceased
AT, 2018, utilized, 202, num, deceased
AT, 2018, utilized, 22.90, pmp, deceased
AT, 2018, living, 77, num, living
AT, 2018, living, 8.70, pmp, living
